Rank,Final Score,Pass 1 Text Score,Name,URL,Region,Village / Town,Google Maps Link,GPS,Tables Score (max 25),Common Room Score (max 25),Sleeping Comfort Score (max 20),Wellness Score (max 15),Facilities Score (max 15),Tables Confirmed by Vision,Verdict,Pros,Cons,Image Reasoning,Capacity Total,Regular Beds,Extra Beds,Bedrooms Count,Bedroom Layout,Bunk Beds Count,Toilets Count,Bathrooms Count,Showers Count,Has Sauna,Sauna Type,Has Hot Tub / Whirlpool,Has Pool,Beer Tap Available,Tables & Workspace Description,Table Seating Capacity,Common Room Size m2,Common Room Description,Fridges Count,Dishwashers Count,Kitchen Details,Wi-Fi Available,Parking Spaces,Exclusive Private Rental,Owner on Site Risk,Price Weekend CZK,Price Week CZK,Price Notes,Property ID,Source HTML File
1,92.5,93.0,Chalupa Nový Svět,https://www.e-chalupy.cz/chalupa-novy-svet-prostredni-lipka-pronajem-o3649,Orlické hory,Prostřední Lipka,"https://www.google.com/maps?q=50.1052925,16.7454111","50.1052925, 16.7454111",25.0,24.0,18.0,13.0,12.5,YES,"This property is an outstanding choice for garage-trip.cz due to its massive common room and excellent facility ratio. The sheer size of the communal areas, combined with professional kitchen capabilities and multiple bathrooms, easily accommodates a large group of tech enthusiasts. While it might lack absolute isolation, its amenities make it highly suitable.","• Extremely large common area suitable for workshops/gaming (30+ seating capacity)
• High number of bathrooms/toilets (11 WC) minimizing bottlenecks
• Full professional kitchen setup for large groups
• Excellent wellness facilities including Finnish sauna and outdoor hot tub","• The property is part of a larger complex ('Nový Svět'), potentially compromising 'exclusive whole-object privacy'
• While spacious, the common area might be slightly divided by architectural elements (e.g., separate dining/living zones)
• Requires careful planning to manage 30+ people in one space","The photos confirm a very large common area (visible in '001' and '029'), which appears to be the main living/dining space on the second floor. Multiple large wooden tables are visible, suggesting capacity for many laptops and board games. The kitchen setup is extensive, featuring multiple appliances. The sauna room ('036') is clearly visible and looks well-maintained. Bedrooms appear comfortable with standard beds, avoiding crowded dormitories. The overall impression from the photos is one of spaciousness and modern amenities.",32,32,0,14,"['tří - lůžkový pokoj s vlastním sociálním zařízením', 'pěti - lůžkový pokoj se dvěma ložnicemi (1x manželská postel, 3 samostatná lůžka), předsíňkou a samostatným sociálním zařízením', 'sedmi - lůžkový pokoj se třemi ložnicemi (2x manželská postel, 3x samostatná lůžko) velkou předsíňkou a sociálním zařízením uzpůsobeným pro osobu s omezenou hybností']",0,11,4,4,YES,finská,YES,NO,YES,3 velké dřevěné stoly (variabilně uzpůsobitelné),30,,"Velká jídelně s relax zónou. Obsahuje: 3 velké dřevěné stoly (kapacita 30 židlí), relax zónu pro děti (TV, wi-fi, herní konzole X - Box Kinect 360, PlayStation PS3, projektor) a relax zónu pro dospělé (velkoplošná TV, wi-fi, SKYLINK, TV anténa, tři dvousedačkové pohovky, dva sedáky).",4,2,"Plnohodnotná kuchyň pro více lidí: 2x horkovzdušná trouba, 2x mikrovlnná trouba, 2x sklokeramická deska, 2x dřez, 2x myčkou nádobí, kávovar na zrnkovou kávu, topinkovač, toustovač, 4x lednice. Přiložena spíž a chladící zařízení (4 naražeče).",YES,1,NO,NO,40000,80000,Storno poplatky 100% zálohy.,3649,chalupa-novy-svet-prostredni-lipka-pronajem-o3649.html
2,92.5,81.5,Chalupa U hřiba,https://www.e-chalupy.cz/ubytovani-lenora-houzna-pronajem-chalupa-u-hriba-o1887,Šumava,Lenora,"https://www.google.com/maps?q=48.9276055556,13.7682527778","48.9276055556, 13.7682527778",23.0,24.0,16.0,14.5,13.0,YES,"This property is an outstanding choice for garage-trip.cz. The combination of a massive common room, high-capacity kitchen, and premium wellness facilities far exceeds the requirements for a large tech retreat. While bathroom count is slightly low, the overall experience and space make it highly recommended.","• Exceptional common area with capacity for 30+ people
• Full privacy (polosamota u lesa) and dedicated facilities
• Excellent wellness amenities (Finnish sauna, hot tub, pool)
• High-capacity kitchen suitable for large group catering","• Limited number of bathrooms/toilets (only 2 full baths + 1 sauna bath area)
• Sleeping arrangements are complex and require careful planning to avoid overcrowding in some rooms","The photos confirm a very large common area (kuchyn-jidelna) with a substantial wooden table and ample seating capacity for many people. The room setup is open and conducive to group activities. The sauna photo shows a dedicated Finnish sauna facility. The kitchen photos show modern appliances, including a full refrigerator, dishwasher, and cooking surfaces suitable for large groups. Overall, the visible spaces are well-equipped for a tech retreat.",33,33,0,6,"['1x 4-person (2 single beds, 1 bunk bed)', '1x 2-person (2 single beds) connected to a 3rd room', '1x 6-person (2 single beds, 1 double bed, 1 sofa bed)', '1x 2-person (1 double bed)', '1x 8-person (2 double beds, 3 single beds + pullout bed)', '1x 11-person (2 double beds, 5 single beds, 1 sofa bed)']",1,3,2,2,YES,finnish,YES,YES,YES,Large table in the dining area; outdoor pergola has seating for 30 people.,30,,The ground floor features a large living/dining room and a separate utility area with lounge seating. There is also a covered pergola terrace.,1,1,"Fully equipped kitchen with large fridge (200cm), dishwasher, electric stove, and microwave suitable for large groups.",NO,,YES,NO,11000,21000,Electricity consumption over 50KW is charged extra (5 CZK/KW). Deposit covers the whole house for a week.,1887,ubytovani-lenora-houzna-pronajem-chalupa-u-hriba-o1887.html
3,92.0,79.5,Statek Záříčí u Červené Lhoty,https://www.e-chalupy.cz/ubytovani-zarici-statek-pronajem-o14555,Jižní Čechy,,"https://www.google.com/maps?q=49.2492561111,14.8291655556","49.2492561111, 14.8291655556",25.0,23.0,17.0,14.0,15.0,YES,"This statek is an outstanding fit for garage-trip.cz. The combination of a massive, dedicated common room, top-tier wellness facilities, and robust catering capabilities makes it perfect for both technical workshops and large social gatherings. It offers the ideal blend of rustic atmosphere and modern group functionality.","• Massive common room with dedicated dining/workshop space for 30+ people.
• Exceptional wellness facilities (Finnish sauna, whirlpool, indoor pool).
• Fully equipped kitchen and multiple beer taps/refrigeration units.
• High capacity (27 guests) and ample private outdoor space.","• The property is very old ('Statek z roku 1868'), which might present structural or aesthetic limitations.
• While the common area is large, the sleeping arrangements rely on various room sizes that may require careful coordination for a group of 30+.","The photos confirm a massive common room/dining hall (labeled 'spolecenska-mistnost-jidelna') with multiple long wooden tables and ample seating for large groups. The setup is ideal for workshops or gaming. Wellness facilities visible include the whirlpool ('virivka'), sauna, and general wellness areas, suggesting high quality and variety. The kitchen area appears fully equipped (multiple fridges, industrial appliances) suitable for catering to 25-35 people.",27,26,1,8,"['1x 4-bed', '2x 3-bed', '1x 5-bed', '1x 2-bed (with child bed)', '1x 2-bed (with child bed)', '1x 4-bed (accessible ground floor)']",,3,5,5,YES,finnish,YES,YES,YES,The main dining hall seats 30 people; the general area is suitable for group activities.,30,,Large dining hall for 30 people and a large living room connected to it. The property has a big common area feel.,,,Fully equipped kitchen suitable for large groups.,NO,10,YES,NO,30000,60000,Electricity consumption is charged at 10 CZK/kWh. Water usage is free.,14555,ubytovani-zarici-statek-pronajem-o14555.html
4,92.0,74.5,Tkalcovna U Zlatého potoka,https://www.e-chalupy.cz/ubytovani-nedvezi-tkalcovna-u-zlateho-potoka-o844,Orlické hory,Nedvězí,"https://www.google.com/maps?q=50.3177861111,16.2702908333","50.3177861111, 16.2702908333",23.0,25.0,17.0,14.0,13.0,YES,"This property is an exceptional fit for garage-trip.cz. The combination of a massive common area, multiple kitchen facilities, and high-end wellness amenities far exceeds the requirements for a large tech retreat. It offers the ideal balance of communal fun and private comfort.","• Massive common room perfect for workshops and gaming
• Multiple dedicated kitchen units (3) for group cooking
• Excellent wellness facilities (Finnish sauna, hot tub, natural pool)
• High capacity (30 guests) with multiple bathrooms/toilets","• The sleeping arrangement details suggest some smaller rooms that might feel cramped if the group is large and spread out.
• While spacious, the common room setup in photos doesn't show dedicated, fixed seating for 25-30 people simultaneously, relying on movable tables.","The photos show a very large, open-plan common room (společenská místnost) with high ceilings and ample space for gathering. Multiple long wooden tables are visible in the foreground and middle ground, suggesting capacity for many laptops and board games. The kitchen area is modern, featuring multiple appliances (microwave, fridge, stove/oven), confirming cooking capability for a large group. The sauna area is not explicitly shown but the description confirms a Finnish sauna with two showers. The overall setup appears highly suitable for a tech retreat.",30,30,0,8,"['1x2-bed', '1x3-bed', '1x4-bed (mezipatr)', '1x4-bed (mezonet)', '1x3-bed (mezonet)', '1x2-bed (mezonet)', '1x6-bed (mezonet, s 2 dětskými postýlkami)', '1x5-bed (podkrovní)']",,4,8,2,YES,finnish,YES,NO,YES,V společenské místnosti je vybaven bar a vinotéka; nebylo specifikováno pracovní místo.,,200,Prostorná společenská místnost (200m²) s vnitřním krbem a barem. Má výhled na Zlatý potok.,1,,Přízemí má 3 plně vybavené kuchyňky pro vaření.,YES,,YES,NO,25000,50000,Ceny jsou uvedeny pro letní sezónu. V zimní sezóně je spotřeba elektřiny zahrnuta.,844,ubytovani-nedvezi-tkalcovna-u-zlateho-potoka-o844.html
5,90.0,83.0,Chalupa U hřiba,https://www.e-chalupy.cz/ubytovani-vlci-jamy-chalupa-u-hriba-pronajem-o3253,Jižní Čechy,Vlčí Jámy,"https://www.google.com/maps?q=48.927563056,13.768269722","48.927563056, 13.768269722",25.0,24.0,17.0,14.0,12.0,YES,"This property is an excellent fit, offering massive common space and top-tier amenities like the private sauna and professional kitchen. The large gathering area easily accommodates workshops and gaming sessions for 25-30 people. While the toilet count is slightly low for maximum capacity, the overall quality, privacy, and facilities make it a highly recommended choice.","• Exceptional common area size for large groups.
• High level of amenities including private sauna and hot tub.
• Fully equipped kitchen suitable for feeding 35+ people.
• Absolute privacy on a secluded plot.","• Very high capacity (33 guests) might feel overwhelming for a smaller group.
• The sheer number of bedrooms/sections could make navigation complex.
• Potential bottleneck with only 3 toilets/showers for 25-35 adults.","The photos confirm a large common area (visible in '003_foto2.jpg' and '005_u-hriba-nove-113.jpg') with ample space for gathering. While the number of chairs isn't counted precisely, there are multiple visible seating arrangements and enough open floor space to accommodate 25-30 people working or playing games. The kitchen is extremely well-equipped (confirmed by text description: large fridges, dishwasher, etc.). The sauna area ('006_hospudka-posezeni-pipa.jpg') shows a dedicated, private wellness space with a Finnish sauna and bathing facilities. Bedrooms are distributed across multiple floors/sections (ground floor, attic, basement), suggesting good privacy distribution, though the capacity is very high (33 people).",33,33,0,6,"['1x 4-bed (2 single + 1 bunk)', '1x 2-bed', '1x 6-bed (2 single + 1 double + 1 sofa bed)', '1x 2-bed', '1x 8-bed (2 double + 3 single + 1 extra bed)', '1x 11-bed (2 double + 5 single + 1 sofa bed)']",1,3,3,2,YES,finnish,YES,YES,YES,Ample outdoor terrace space (for 30 people) and indoor common areas are available for games and work.,30,,"The main living area is spacious and features multiple seating options, ideal for large group gatherings.",2,1,"Fully equipped kitchen with two large refrigerators, dishwasher, electric stove/oven, and a separate kitchenette upstairs.",YES,6,YES,NO,11000,25000,"Weekend price is from 11,000 CZK (off-season). Electricity consumption over 50KW requires an additional fee of 5,- Kč/1KW. A refundable deposit of 2000,- Kč applies.",3253,ubytovani-vlci-jamy-chalupa-u-hriba-pronajem-o3253.html
6,90.0,79.5,Osada Ošíkov,https://www.e-chalupy.cz/ubytovani-kladky-osada-osikov-o18135,Severní Morava a Slezsko,Kladky,"https://www.google.com/maps?q=49.6551894,16.8192381","49.6551894, 16.8192381",25.0,24.0,16.0,14.0,12.0,YES,"This property is an exceptional fit for a large tech retreat. The common room and dedicated gaming/workshop space are massive, easily accommodating all 25-35 participants. While the bathroom count is low, the superb communal facilities, professional kitchen, and wellness amenities make this a top recommendation.","• Massive common room suitable for 30+ people
• Excellent gaming/workshop facilities (large tables, bar area)
• Full amenities including beer tap and professional kitchen
• High-bonus wellness features (Finnish sauna, hot tub)","• Limited number of bathrooms (only shared WC + one shower mentioned in the main description)
• Sleeping capacity is slightly lower than ideal for 35 people (max 19 beds)","The photos show a massive common room (společenská místnost) with a large fireplace and ample space for gathering. The seating area features multiple wooden tables and long benches/benches that can be configured for many people, suitable for workshops or gaming. The kitchen is fully equipped, showing modern appliances like a stove, dishwasher, and large fridge. The sauna (finnish) is mentioned in the description, and while not explicitly photographed in use, its presence is confirmed by the text. The overall setup suggests a large capacity for group activities.",28,19,9,7,"['Pokoj č. 1: 4-6 osoby', 'Pokoj č. 2: 4-5 osoby', 'Pokoj č. 3: 2 osoby', 'Pokoj č. 4: 2-3 osoby', 'Pokoj č. 5: 2-4 osoby', 'Pokoj č. 6: 2-6 osoby', 'Pokoj č. 7: 3 osoby']",,2,7,1,YES,finnish,YES,NO,YES,Předzahrádka má masivní stoly a lavice; společenská místnost je vybavena barem.,38,,"Velká společenská místnost z masivním dubovým inventářem a velkým krbem, vhodná pro 38 osob. Má také bar a hruň.",1,1,"Plně vybavená kuchyň s výbavou pro velké skupiny: sporák, velká lednice, myčka nádobí a mikrovlnná trouba.",YES,,YES,NO,1500,7500,"Cena zahrnuje kompletní úklid, lůžkoviny a ostatní náklady (plyn, vytápění, elektřina, voda). Neomezený přístup do wellness.",18135,ubytovani-kladky-osada-osikov-o18135.html
7,90.0,76.0,Chata Verda,https://www.e-chalupy.cz/ubytovani-moravsky-karlov-chata-verda-pronajem-o1783,Jeseníky,Moravský Karlov,"https://www.google.com/maps?q=50.0275791667,16.7777222222","50.0275791667, 16.7777222222",25.0,24.0,16.0,14.0,12.0,YES,"Chata Verda is an exceptionally well-equipped and spacious property that meets all critical requirements. The combination of massive gathering spaces, professional kitchen facilities, and top-tier wellness amenities makes it ideal for a high-end tech retreat. It scores highly despite its luxury nature, making it a strong recommendation.","• Excellent capacity (44 guests) with private rooms for all
• Extremely well-equipped common area suitable for workshops and gaming
• High-end wellness amenities including Finnish sauna, hot tub, and heated pool
• Professional kitchen capable of catering large groups","• The sheer size/luxury might be overkill or too formal for a casual 'garage trip' vibe.
• Potential lack of dedicated, informal group hangout space outside the main common room (though the garden is large).","The photos show a large common area (visible in '007' and '013') with ample space for gathering. Multiple tables are visible, suggesting capacity for workshops or gaming. The room setup includes a bar/seating area and enough open floor space to accommodate 25-30 people working on laptops or playing games. Bedrooms appear comfortable and well-spaced (e.g., '025'), avoiding the feel of overcrowded dorms. The sauna is confirmed as Finnish, and the outdoor photos confirm both a hot tub/barrel ('019') and an enclosed heated pool ('031'). Kitchen facilities are extensive, featuring multiple large stoves, dishwashers, and ample storage, suitable for feeding a large group. Bathroom facilities are excellent, with 10 toilets and individual WC/shower units in every room, minimizing bottlenecks.",44,39,5,10,['Details not specified (10 rooms total)'],,10,10,10,YES,finnish,YES,YES,YES,Ample seating in the common room for relaxation and activities.,,,"Large common room with a bar area, equipped with TV, ping pong, and board games.",4,2,"Fully equipped kitchen with two large multi-functional stoves, four refrigerators/freezers, and dishwashers.",YES,,YES,NO,110000,110000,Prices exclude electricity and local/recreational fees. Linen is included only for weekly stays.,1783,ubytovani-moravsky-karlov-chata-verda-pronajem-o1783.html
8,90.0,76.0,Relax zone Vrchovina,https://www.e-chalupy.cz/ubytovani-sychrov-relax-zone-vrchovina-o8551,Český ráj,Sychrov,"https://www.google.com/maps?q=50.647398611,15.072821667","50.647398611, 15.072821667",24.0,23.0,16.0,15.0,13.0,YES,"This property is an outstanding fit for garage-trip.cz due to its combination of massive common space, professional kitchen capabilities, and high-end wellness amenities. The large hall and multiple tables ensure that all 25-30 attendees can work or play simultaneously in a comfortable environment.","• Massive common hall (85m2) ideal for workshops and hacking sessions.
• Excellent amenities including Finnish sauna, hot tub/pool, and professional kitchen facilities.
• Ample sleeping capacity in comfortable apartments, avoiding dormitories.
• Fully equipped with multiple large tables and seating arrangements.","• The sheer size of the property might feel overly spread out or impersonal for a small group.
• While there are 7 toilets, the ratio is based on 25 guests; confirming enough simultaneous use points is difficult without more data.","The photos confirm a very large common area (Photo 033: multifunkční hala 85m2) suitable for workshops and group activities. The dining/common room features multiple long wooden tables set up with place settings, confirming ample space for laptops and board games. The kitchen is described as semi-professional and visible in the photos (Photo 025), suggesting capacity for large groups. Wellness facilities include a dedicated Finnish sauna and an outdoor pool/hot tub area, which are well-maintained. Bedrooms appear comfortable and spacious, avoiding overcrowded dorms. The overall setup strongly supports a large group event.",25,25,0,5,"['1x 3-bed', '2x 4-bed', '1x 6-bed', '1x 8-bed']",,7,4,4,YES,finnish,YES,YES,YES,Ample space in the large common area for activities; includes ping pong table in an attached universal hall (100m²).,,,"Large common dining hall with fireplace stoves, soft seating, TV, children's corner, and a semi-professional kitchen.",5,,Semi-professional kitchen with full equipment available for self-catering.,YES,,YES,NO,31920,70560,Prices include energy and wood for fireplaces. Deposit is required for potential damages.,8551,ubytovani-sychrov-relax-zone-vrchovina-o8551.html
9,89.5,84.0,Chalupa Červenka,https://www.e-chalupy.cz/ubytovani-cervena-voda-chalupa-cervenka-k-pronajmuti-o3140,Východní Čechy,Červená Voda,"https://www.google.com/maps?q=50.028893611,16.74583","50.028893611, 16.74583",25.0,23.0,16.0,14.5,12.0,YES,"This property is an excellent fit for garage-trip.cz due to its massive common room, extensive recreational facilities, and large kitchen capacity. While the sleeping arrangements are somewhat varied (including bunks), the overall amenities and gathering space make it highly suitable for a tech enthusiast retreat.","• Massive common room perfect for group activities
• Excellent recreational facilities (pool, sauna, games)
• Fully equipped kitchen capable of feeding large groups","• Sleeping arrangements include bunk beds and dorm-style rooms (less private)
• The beer tap is not confirmed/available
• High number of bathrooms helps, but the sheer size might be overwhelming for a small group.","The photos confirm a very large common area (společenská místnost) with extensive wooden paneling and high ceilings, ideal for gathering. Visible in the first photo are multiple tables suitable for laptops and board games, along with ample seating capacity. The second set of photos confirms the indoor pool setup (6x3m) with visible anti-current equipment. The kitchen photos show a fully equipped modern kitchen area. The sauna/wellness area is confirmed by text description (Infrasauna, sprcha, WC). Bedroom setups are varied but include several smaller rooms and dorm-style sleeping arrangements (bunks), which should be noted for the 'sleeping' score.",30,28,2,8,"['1x (dvoulůžko, lůžko a patrovka)', '1x (5xlůžko)', '1x apartmán s kuchyň', '1x (dvě dvoulůžka)', '1x manželská postel', '1x (2xlůžko a dvoulůžko)', '1x (dvoulůžko, lůžko a dětská patrovka)', '1x pokojík s 3xvyvýšené lůžko']",,8,6,2,YES,infra,YES,YES,NO,Jídelná je vybavena 5 stoly a 23 židlemi; v společenské místnosti jsou dostupné stoly na hry.,23,,"Velká společenská místnost s kulečníkem, fotbálekem a ping-pongem. Je vybaveno kuchyňskou jídelnou.",,1,Plně vybavená kuchyň s elektrickým sporákem a myčkou je součástí jídelní oblasti.,YES,5,YES,NO,15990,49999,"Ceny jsou za celou chalupu. Poplatky: závěrečný úklid (3000 Kč), bazén (příplatek). Účtování elektřiky a vody je dle spotřeby.",3140,ubytovani-cervena-voda-chalupa-cervenka-k-pronajmuti-o3140.html
10,89.5,82.5,Chalupa Bezvětří,https://www.e-chalupy.cz/chalupa-bezvetri-karlov-pod-pradedem-pronajem-o14021,Jeseníky,Karlov pod Pradědem,"https://www.google.com/maps?q=50.0188602778,17.3059330556","50.0188602778, 17.3059330556",24.0,23.0,16.0,14.5,13.0,YES,"This property is an excellent fit for garage-trip.cz due to its massive common area and high-end wellness facilities. The combination of large group space, multiple cooking areas, and a professional sauna setup makes it ideal for tech workshops and social gaming retreats.","• Excellent common room size for large groups.
• High-quality wellness amenities (Finnish sauna, hot tub/vířivka).
• Large capacity and multiple self-contained units.
• Well-equipped communal kitchen suitable for group cooking.","• The sleeping arrangement relies on multiple separate apartments, which might feel less cohesive than a single large house.
• While the common room is big, the sheer number of individual bathrooms (8) suggests potential maintenance complexity/bottlenecks if not managed well.","The photos show a very large common room (společenská místnost) with ample space for gathering and activities. Multiple images confirm the presence of long wooden tables and numerous chairs suitable for group work or board games. The sauna area is visible in multiple pictures, showing both Finnish and infra-sauna facilities, confirming high wellness quality. The kitchen photos show a large, well-equipped communal kitchen area with modern appliances (dishwasher, full stove/oven, large fridge).",28,24,4,10,"['Apartment 1: 1 bedroom', 'Apartment 2: 2 bedrooms', 'Apartment 3: 2 bedrooms', 'Apartment 4: 1 bedroom + trundle bed', 'Apartment 5: 1 bedroom', 'Apartment 6: 2 bedrooms']",,8,8,8,YES,finnish,YES,YES,YES,Seating is provided in the common room with tables and benches.,,,"The common area includes a kitchen, fireplace, and wine cellar. It features seating areas with tables and a large TV.",7,1,"The main kitchen area has a stove, oven, large fridge, microwave, and dishwasher. Individual apartments also have kitchens.",YES,,YES,NO,20500,140000,Pricing varies by season; minimum stay requirements apply. The price listed is for the entire object.,14021,chalupa-bezvetri-karlov-pod-pradedem-pronajem-o14021.html
